regulator_code,country_code,authority_id,component,blocker,evidence
BaFin,DE,ra-auth-de-ba7351f59cf176d7,accessibility,Official route remains under review and cannot support an accessibility component.,qualification_state=manual-review-required
BaFin,DE,ra-auth-de-ba7351f59cf176d7,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=6
CNMV,ES,ra-auth-es-db7b4ceffc1383fb,accessibility,No qualified official publication route matched the live regulator.,
CNMV,ES,ra-auth-es-db7b4ceffc1383fb,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=6
SFC,HK,ra-auth-hk-7242883237a6e80c,accessibility,No qualified official publication route matched the live regulator.,
SFC,HK,ra-auth-hk-7242883237a6e80c,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=7
AFM,NL,ra-auth-nl-3dea2d27ee965e72,accessibility,Official route remains under review and cannot support an accessibility component.,qualification_state=manual-review-required
AFM,NL,ra-auth-nl-3dea2d27ee965e72,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=2
ECB,EU,,accessibility,No qualified official publication route matched the live regulator.,
ECB,EU,,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=11
DFSA,AE,ra-auth-ae-cc9e71ec2ffbc2f5,accessibility,No qualified official publication route matched the live regulator.,
DFSA,AE,ra-auth-ae-cc9e71ec2ffbc2f5,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=8
FSRA,AE,ra-auth-ae-a2eaf322568b7d54,accessibility,No qualified official publication route matched the live regulator.,
FSRA,AE,ra-auth-ae-a2eaf322568b7d54,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=2
CBUAE,AE,ra-auth-ae-da705b04944a16ff,accessibility,No qualified official publication route matched the live regulator.,
CBUAE,AE,ra-auth-ae-da705b04944a16ff,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=6
JFSC,JE,ra-auth-je-5a2e6c5b726f4bd9,accessibility,No qualified official publication route matched the live regulator.,
JFSC,JE,ra-auth-je-5a2e6c5b726f4bd9,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=5
JFSC,JE,ra-auth-je-5a2e6c5b726f4bd9,timeliness,Low-frequency or sparse source is kept as a watch; observation age is not treated as a failed transparency score.,age_days=385;automation_level=sparse_source
CIRO,CA,,accessibility,No qualified official publication route matched the live regulator.,
CIRO,CA,,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=8
SEBI,IN,ra-auth-in-1a442264a9b3e9f5,accessibility,No qualified official publication route matched the live regulator.,
SEBI,IN,ra-auth-in-1a442264a9b3e9f5,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=5
TWFSC,TW,ra-auth-tw-19b695d9525b0615,accessibility,Official route remains under review and cannot support an accessibility component.,qualification_state=manual-review-required
TWFSC,TW,ra-auth-tw-19b695d9525b0615,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=15
CVM,BR,ra-auth-br-a59437c9ce1f582b,accessibility,Official route remains under review and cannot support an accessibility component.,qualification_state=browser-review-required
CVM,BR,ra-auth-br-a59437c9ce1f582b,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=6
HKMA,HK,ra-auth-hk-a01a8df1dfe9cf6d,timeliness,Low-frequency or sparse source is kept as a watch; observation age is not treated as a failed transparency score.,age_days=394;automation_level=low_frequency
AUSTRAC,AU,ra-auth-au-a991c73127987db8,accessibility,No qualified official publication route matched the live regulator.,
AUSTRAC,AU,ra-auth-au-a991c73127987db8,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=18
OCC,US,ra-auth-us-536892012d88d798,accessibility,Official route remains under review and cannot support an accessibility component.,qualification_state=manual-review-required
OCC,US,ra-auth-us-536892012d88d798,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=39
FINCEN,US,ra-auth-us-62a5bd0929843be2,accessibility,No qualified official publication route matched the live regulator.,
FINCEN,US,ra-auth-us-62a5bd0929843be2,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=28
SESC,JP,,accessibility,No qualified official publication route matched the live regulator.,
SESC,JP,,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=4
FMANZ,NZ,ra-auth-nz-26cfbdac8baf745d,accessibility,No qualified official publication route matched the live regulator.,
FMANZ,NZ,ra-auth-nz-26cfbdac8baf745d,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=12
FDIC,US,ra-auth-us-1d4a8d980adde2a5,accessibility,No qualified official publication route matched the live regulator.,
FDIC,US,ra-auth-us-1d4a8d980adde2a5,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=38
SPK,TR,,accessibility,No qualified official publication route matched the live regulator.,
SPK,TR,,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=11
GHSEC,GH,ra-auth-gh-1276eb0564999d02,accessibility,No qualified official publication route matched the live regulator.,
GHSEC,GH,ra-auth-gh-1276eb0564999d02,archiveDepth,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract.",active_years=5
IOMFSA,IM,ra-auth-im-fd7b7763058345b6,accessibility,No qualified official publication route matched the live regulator.,
