regulator_code,regulator,country_code,country,source_type,scrape_mode,automation_level,operational_confidence,contract_cadence,stale_after_days,latest_action,latest_action_age_days,freshness_state,observed_records,registry_static_records,registry_count_delta,active_years,actions_per_active_year,active_months_last_24,enforcement_activity_signal,monetary_amount_disclosure_rate_pct,activity_interpretation,amount_interpretation
FCA,Financial Conduct Authority,GB,United Kingdom,regulator,mixed,automated,standard,daily,180,2026-08-17T00:00:00.000Z,3,within-contract,752,308,444,14,53.7,24,frequent,48.3,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
BaFin,Federal Financial Supervisory Authority,DE,Germany,regulator,mixed,automated,standard,daily,180,2026-08-03T00:00:00.000Z,17,within-contract,380,246,134,6,63.3,24,frequent,59.2,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
AMF,Autorité des marchés financiers,FR,France,regulator,detail_pages,automated,standard,daily,365,2026-07-28T00:00:00.000Z,23,within-contract,116,112,4,12,9.7,17,active,69.8,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
CNMV,Comisión Nacional del Mercado de Valores,ES,Spain,regulator,search_register,automated,standard,daily,180,2026-07-17T00:00:00.000Z,34,within-contract,102,102,0,6,17,15,active,3.9,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
CBI,Central Bank of Ireland,IE,Ireland,regulator,detail_pages,automated,standard,daily,365,2025-12-12T00:00:00.000Z,251,within-contract,119,119,0,18,6.6,6,periodic,4.2,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
SFC,Securities and Futures Commission,HK,Hong Kong,regulator,archive,automated,standard,daily,180,2026-08-13T00:00:00.000Z,7,within-contract,233,221,12,7,33.3,24,frequent,56.2,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
AFM,Authority for the Financial Markets,NL,Netherlands,regulator,search_register,automated,standard,daily,180,2026-08-20T00:00:00.000Z,0,within-contract,8,7,1,2,4,7,periodic,25,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
DNB,De Nederlandsche Bank,NL,Netherlands,regulator,detail_pages,automated,standard,daily,180,2026-03-06T00:00:00.000Z,167,within-contract,48,48,0,5,9.6,14,active,56.3,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
ECB,European Central Bank Banking Supervision,EU,Euro Area,regulator,search_register,automated,standard,daily,180,2026-06-19T00:00:00.000Z,62,within-contract,88,36,52,11,8,9,active,47.7,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
DFSA,Dubai Financial Services Authority,AE,Dubai International Financial Centre,regulator,detail_pages,curated_archive,lower,fragile,365,2026-02-06T00:00:00.000Z,195,within-contract,19,19,0,8,2.4,5,periodic,100,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
FSRA,Financial Services Regulatory Authority,AE,Abu Dhabi Global Market,regulator,detail_pages,automated,standard,daily,365,2026-05-11T00:00:00.000Z,101,within-contract,28,10,18,2,14,9,active,32.1,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
CBUAE,Central Bank of the United Arab Emirates,AE,United Arab Emirates,regulator,detail_pages,curated_archive,lower,fragile,365,2025-12-23T00:00:00.000Z,240,within-contract,36,36,0,6,6,8,periodic,77.8,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
JFSC,Jersey Financial Services Commission,JE,Jersey,regulator,detail_pages,sparse_source,lower,fragile,540,2025-07-31T00:00:00.000Z,385,within-contract,6,6,0,5,1.2,2,low-frequency,100,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
GFSC,Guernsey Financial Services Commission,GG,Guernsey,regulator,detail_pages,automated,standard,daily,180,2026-03-09T00:00:00.000Z,164,within-contract,32,28,4,9,3.6,3,periodic,100,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
CIRO,Canadian Investment Regulatory Organization,CA,Canada,sro,detail_pages,automated,lower,fragile,365,2026-08-14T00:00:00.000Z,6,within-contract,308,279,29,8,38.5,23,frequent,1.3,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
SEC,U.S. Securities and Exchange Commission,US,United States,regulator,detail_pages,automated,standard,daily,120,2026-08-18T00:00:00.000Z,2,within-contract,1803,1797,6,15,120.2,16,active,47,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
SEBI,Securities and Exchange Board of India,IN,India,regulator,search_register,automated,standard,daily,180,2026-07-31T00:00:00.000Z,20,within-contract,433,408,25,5,86.6,23,frequent,0,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
TWFSC,Financial Supervisory Commission,TW,Taiwan,regulator,detail_pages,automated,standard,daily,180,2026-08-11T00:00:00.000Z,9,within-contract,932,924,8,15,62.1,23,frequent,87.8,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
CVM,Comissão de Valores Mobiliários,BR,Brazil,regulator,open_data,automated,standard,daily,180,2026-08-11T00:00:00.000Z,9,within-contract,563,557,6,6,93.8,23,frequent,0,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
HKMA,Hong Kong Monetary Authority,HK,Hong Kong,regulator,detail_pages,low_frequency,standard,daily,365,2025-07-22T00:00:00.000Z,394,watch-low-frequency-beyond-contract,23,23,0,6,3.8,4,periodic,73.9,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
ASIC,Australian Securities and Investments Commission,AU,Australia,regulator,table,automated,standard,daily,180,2026-07-31T00:00:00.000Z,20,within-contract,147,112,35,13,11.3,14,active,40.8,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
AUSTRAC,Australian Transaction Reports and Analysis Centre,AU,Australia,regulator,detail_pages,automated,lower,fragile,365,2026-01-01T00:00:00.000Z,231,within-contract,70,70,0,18,3.9,5,periodic,10,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
MAS,Monetary Authority of Singapore,SG,Singapore,regulator,detail_pages,automated,standard,daily,180,2026-06-30T00:00:00.000Z,51,within-contract,27,21,6,4,6.8,7,periodic,29.6,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
OCC,Office of the Comptroller of the Currency,US,United States,regulator,search_register,automated,standard,daily,180,2026-07-15T00:00:00.000Z,36,within-contract,5598,5579,19,39,143.5,23,frequent,99.2,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
FINCEN,Financial Crimes Enforcement Network,US,United States,regulator,detail_pages,automated,standard,daily,180,2026-08-03T00:00:00.000Z,17,within-contract,119,118,1,28,4.3,5,periodic,0,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
FINMA,Swiss Financial Market Supervisory Authority,CH,Switzerland,regulator,detail_pages,automated,lower,fragile,365,2026-05-01T00:00:00.000Z,111,within-contract,26,26,0,9,2.9,5,periodic,0,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
SESC,Securities and Exchange Surveillance Commission,JP,Japan,regulator,detail_pages,automated,standard,daily,180,2026-07-08T00:00:00.000Z,43,within-contract,74,66,8,4,18.5,21,frequent,28.4,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
FMANZ,Financial Markets Authority,NZ,New Zealand,regulator,detail_pages,automated,standard,daily,180,2026-07-06T00:00:00.000Z,45,within-contract,177,99,78,12,14.8,18,frequent,18.1,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
FDIC,Federal Deposit Insurance Corporation,US,United States,regulator,archive,automated,lower,fragile,365,2026-06-30T00:00:00.000Z,51,within-contract,11155,11139,16,38,293.6,22,frequent,22.9,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
FRB,Federal Reserve Board,US,United States,regulator,archive,automated,standard,daily,180,2026-08-05T00:00:00.000Z,15,within-contract,2842,2882,-40,38,74.8,23,frequent,12.7,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
SPK,Sermaye Piyasası Kurulu,TR,Turkey,regulator,open_data,automated,standard,daily,180,2026-08-13T00:00:00.000Z,7,within-contract,2189,2226,-37,11,199,24,frequent,100,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
GHSEC,"Securities and Exchange Commission, Ghana",GH,Ghana,regulator,table,automated,standard,daily,180,2026-03-31T00:00:00.000Z,142,within-contract,68,68,0,5,13.6,1,low-frequency,4.4,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
IOMFSA,Isle of Man Financial Services Authority,IM,Isle of Man,regulator,table,low_frequency,lower,fragile,365,2025-06-17T00:00:00.000Z,429,watch-low-frequency-beyond-contract,21,21,0,7,3,5,periodic,100,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
AMMC,Autorité Marocaine du Marché des Capitaux,MA,Morocco,regulator,table,low_frequency,standard,daily,180,2024-03-07T00:00:00.000Z,896,watch-low-frequency-beyond-contract,9,8,1,3,3,0,no-recent-signal,0,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
CNV,Comisión Nacional de Valores,AR,Argentina,regulator,table,automated,standard,daily,180,2026-06-10T00:00:00.000Z,71,within-contract,41,19,22,2,20.5,7,periodic,0,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
FSS,Financial Supervisory Service,KR,South Korea,regulator,archive,automated,standard,daily,180,2026-04-19T00:00:00.000Z,123,within-contract,40,40,0,14,2.9,1,low-frequency,0,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
OSC,Ontario Securities Commission,CA,Canada,regulator,detail_pages,automated,standard,daily,365,2026-06-02T00:00:00.000Z,79,within-contract,653,653,0,26,25.1,10,active,100,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
BDI,Banca d'Italia,IT,Italy,regulator,archive,automated,standard,daily,180,2026-06-23T00:00:00.000Z,58,within-contract,175,153,22,7,25,19,frequent,0,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
ACPR,Autorité de contrôle prudentiel et de résolution,FR,France,regulator,archive,automated,standard,daily,180,2026-05-13T00:00:00.000Z,99,within-contract,78,78,0,16,4.9,6,periodic,0,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
CSSF,Commission de Surveillance du Secteur Financier,LU,Luxembourg,regulator,mixed,automated,standard,daily,180,2026-07-21T00:00:00.000Z,30,within-contract,168,163,5,7,24,20,frequent,0,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
FSMA,Financial Services and Markets Authority,BE,Belgium,regulator,detail_pages,automated,standard,daily,180,2026-06-26T00:00:00.000Z,55,within-contract,191,182,9,18,10.6,18,frequent,0,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
FMAAT,Financial Market Authority Austria,AT,Austria,regulator,archive,automated,lower,fragile,365,2026-07-02T00:00:00.000Z,49,within-contract,121,118,3,8,15.1,20,frequent,94.2,Neutral publication/activity descriptor; not regulator quality or country risk.,Observed monetary disclosure only; non-monetary legal regimes and source design make cross-regulator ranking unsafe.
