regulator_code,stable_regulator_id,authority_id,country_code,authority,role_mapping,component,weight_pct,value,available,evidence,blocker
FCA,ra-reg-fca,ra-auth-gb-9eea37a5bdddca65,GB,The Financial Conduct Authority,insurance;prudential_supervision;securities,accessibility,20,100,true,access_state=reachable;source_route_state=authority-owned;source_checked_at=2026-08-20T12:11:07.553Z,
FCA,ra-reg-fca,ra-auth-gb-9eea37a5bdddca65,GB,The Financial Conduct Authority,insurance;prudential_supervision;securities,caseLevelSpecificity,25,100,true,sample_size=100;complete_case_fields=100;Fields read directly from /api/unified/search sample; monetary amount is not required.,
FCA,ra-reg-fca,ra-auth-gb-9eea37a5bdddca65,GB,The Financial Conduct Authority,insurance;prudential_supervision;securities,sourceTraceability,20,100,true,"sample_size=100;traceable_cases=100;verified_source_status_cases=27;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
FCA,ra-reg-fca,ra-auth-gb-9eea37a5bdddca65,GB,The Financial Conduct Authority,insurance;prudential_supervision;securities,archiveDepth,20,100,true,"active_years=14;authority_id=ra-auth-gb-9eea37a5bdddca65;archive_access_state=dated-first-page-signal;Observed active years are an archive-depth observation, not a completeness claim; ten or more observed years reaches the component ceiling.",
FCA,ra-reg-fca,ra-auth-gb-9eea37a5bdddca65,GB,The Financial Conduct Authority,insurance;prudential_supervision;securities,timeliness,15,98.3333,true,"age_days=3;stale_after_days=180;cadence=daily;This is timeliness against the regulator-specific RegActions observation contract, not an inferred publication-delay measure.",
BaFin,ra-reg-bafin,ra-auth-de-ba7351f59cf176d7,DE,Federal Financial Supervisory Authority,insurance;pensions;prudential_supervision;securities,accessibility,20,,false,qualification_state=manual-review-required,Official route remains under review and cannot support an accessibility component.
BaFin,ra-reg-bafin,ra-auth-de-ba7351f59cf176d7,DE,Federal Financial Supervisory Authority,insurance;pensions;prudential_supervision;securities,caseLevelSpecificity,25,100,true,sample_size=100;complete_case_fields=100;Fields read directly from /api/unified/search sample; monetary amount is not required.,
BaFin,ra-reg-bafin,ra-auth-de-ba7351f59cf176d7,DE,Federal Financial Supervisory Authority,insurance;pensions;prudential_supervision;securities,sourceTraceability,20,100,true,"sample_size=100;traceable_cases=100;verified_source_status_cases=98;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
BaFin,ra-reg-bafin,ra-auth-de-ba7351f59cf176d7,DE,Federal Financial Supervisory Authority,insurance;pensions;prudential_supervision;securities,archiveDepth,20,,false,active_years=6,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract."
BaFin,ra-reg-bafin,ra-auth-de-ba7351f59cf176d7,DE,Federal Financial Supervisory Authority,insurance;pensions;prudential_supervision;securities,timeliness,15,90.5556,true,"age_days=17;stale_after_days=180;cadence=daily;This is timeliness against the regulator-specific RegActions observation contract, not an inferred publication-delay measure.",
AMF,ra-reg-amf,ra-auth-fr-27fcd26120dee0c9,FR,Autorité des marchés financiers*,securities,accessibility,20,100,true,access_state=reachable;source_route_state=authority-owned;source_checked_at=2026-08-20T12:11:07.553Z,
AMF,ra-reg-amf,ra-auth-fr-27fcd26120dee0c9,FR,Autorité des marchés financiers*,securities,caseLevelSpecificity,25,100,true,sample_size=100;complete_case_fields=100;Fields read directly from /api/unified/search sample; monetary amount is not required.,
AMF,ra-reg-amf,ra-auth-fr-27fcd26120dee0c9,FR,Autorité des marchés financiers*,securities,sourceTraceability,20,100,true,"sample_size=100;traceable_cases=100;verified_source_status_cases=9;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
AMF,ra-reg-amf,ra-auth-fr-27fcd26120dee0c9,FR,Autorité des marchés financiers*,securities,archiveDepth,20,100,true,"active_years=12;authority_id=ra-auth-fr-27fcd26120dee0c9;archive_access_state=first-page-observed-no-date;Observed active years are an archive-depth observation, not a completeness claim; ten or more observed years reaches the component ceiling.",
AMF,ra-reg-amf,ra-auth-fr-27fcd26120dee0c9,FR,Autorité des marchés financiers*,securities,timeliness,15,93.6986,true,"age_days=23;stale_after_days=365;cadence=daily;This is timeliness against the regulator-specific RegActions observation contract, not an inferred publication-delay measure.",
CNMV,ra-reg-cnmv,ra-auth-es-db7b4ceffc1383fb,ES,Comisión Nacional del Mercado de Valores*,securities,accessibility,20,,false,,No qualified official publication route matched the live regulator.
CNMV,ra-reg-cnmv,ra-auth-es-db7b4ceffc1383fb,ES,Comisión Nacional del Mercado de Valores*,securities,caseLevelSpecificity,25,100,true,sample_size=100;complete_case_fields=100;Fields read directly from /api/unified/search sample; monetary amount is not required.,
CNMV,ra-reg-cnmv,ra-auth-es-db7b4ceffc1383fb,ES,Comisión Nacional del Mercado de Valores*,securities,sourceTraceability,20,100,true,"sample_size=100;traceable_cases=100;verified_source_status_cases=96;Traceability requires a stable case ID, official-source URL field and explicit source-link status; verified status is reported but not substituted for missing evidence.",
CNMV,ra-reg-cnmv,ra-auth-es-db7b4ceffc1383fb,ES,Comisión Nacional del Mercado de Valores*,securities,archiveDepth,20,,false,active_years=6,"Archive span is present in the live observation, but the mapped official publication route is not approved-for-human-contract."
CNMV,ra-reg-cnmv,ra-auth-es-db7b4ceffc1383fb,ES,Comisión Nacional del Mercado de Valores*,securities,timeliness,15,81.1111,true,"age_days=34;stale_after_days=180;cadence=daily;This is timeliness against the regulator-specific RegActions observation contract, not an inferred publication-delay measure.",
