iso2,country,region,factor,label,availability,scored,value_kind,value_label,value_raw,source_provider,source_url,licence,effective_at,retrieved_at,source_candidates,limitation
DZ,Algeria,Africa,organised-crime,Organised crime,unavailable,false,,,,,,,,,United Nations Office on Drugs and Crime|https://dataunodc.un.org/|candidate-not-ingested,No reviewed country-level organised-crime dataset is currently checked in; no risk value is inferred.
DZ,Algeria,Africa,fraud-cybercrime,Fraud and cybercrime,unavailable,false,,,,,,,,,International Telecommunication Union|https://www.itu.int/en/ITU-D/Cybersecurity/Pages/global-cybersecurity-index.aspx|candidate-not-ingested,No reviewed country-level fraud or cybercrime dataset is currently checked in; no risk value is inferred.
DZ,Algeria,Africa,terrorism-proliferation,Terrorism and proliferation financing,unavailable,false,,,,,,,,,Financial Action Task Force|https://www.fatf-gafi.org/en/publications/mutualevaluations.html|candidate-not-ingested,No reviewed country-comparable terrorism/proliferation threat dataset is currently checked in; FATF listing status remains a separate overlay.
DZ,Algeria,Africa,trafficking,Trafficking,unavailable,false,,,,,,,,,United Nations Office on Drugs and Crime|https://dataunodc.un.org/|candidate-not-ingested,No reviewed country-level trafficking dataset is currently checked in; no risk value is inferred.
DZ,Algeria,Africa,financial-secrecy-offshore,Financial secrecy and offshore exposure,unavailable,false,,,,,,,,,OECD Global Forum on Transparency and Exchange of Information for Tax Purposes|https://www.oecd.org/tax/transparency/|candidate-not-ingested,"No reviewed, licence-clean financial-secrecy index is currently checked in; jurisdiction type alone is not used as a proxy."
DZ,Algeria,Africa,tax-cooperation,Tax cooperation,available,false,categorical,Not listed in EU Annex I,not-listed,Council of the European Union,https://www.consilium.europa.eu/en/policies/eu-list-of-non-cooperative-jurisdictions/,,2026-02-17,2026-02-17,"Council of the European Union|https://www.consilium.europa.eu/en/policies/eu-list-of-non-cooperative-jurisdictions/|checked-in-snapshot,OECD Global Forum on Transparency and Exchange of Information for Tax Purposes|https://www.oecd.org/tax/transparency/|candidate-not-ingested","Annex I is a political/legal tax-cooperation list, not a general AML, corruption, or country-risk score."
DZ,Algeria,Africa,political-stability-conflict,Political stability and conflict,available,false,percentile,54/100 WGI percentile,54,World Bank Worldwide Governance Indicators,https://www.worldbank.org/en/publication/worldwide-governance-indicators,CC BY 4.0 — World Bank WGI,2024,2026-08-13T11:45:25.085Z,World Bank Worldwide Governance Indicators|https://www.worldbank.org/en/publication/worldwide-governance-indicators|checked-in-snapshot,"WGI is an institutional perception indicator, not a conflict event feed or a prediction of future violence."
DZ,Algeria,Africa,beneficial-ownership,Beneficial ownership,available,false,register,Register accessible for due diligence,cdd-accessible,Open Ownership,https://www.openownership.org/en/map/,CC BY 4.0 (Open Ownership),2026-08-23T10:55:05.203Z,2026-08-23T10:55:05.203Z,Open Ownership|https://www.openownership.org/en/map/|checked-in-snapshot,"The Open Ownership map is a live-register snapshot and absence means no register was identified in that snapshot, not that no register exists."
AO,Angola,Africa,organised-crime,Organised crime,unavailable,false,,,,,,,,,United Nations Office on Drugs and Crime|https://dataunodc.un.org/|candidate-not-ingested,No reviewed country-level organised-crime dataset is currently checked in; no risk value is inferred.
AO,Angola,Africa,fraud-cybercrime,Fraud and cybercrime,unavailable,false,,,,,,,,,International Telecommunication Union|https://www.itu.int/en/ITU-D/Cybersecurity/Pages/global-cybersecurity-index.aspx|candidate-not-ingested,No reviewed country-level fraud or cybercrime dataset is currently checked in; no risk value is inferred.
