authority_id,publication_route_id,iso2,country,authority,roles,authority_website,evidence_url,observed_final_url,source_host_scope,publication_route_type,access_state,archive_access_state,publication_relevance,scope_evidence_state,qualification_state,source_route_state,language_hints,language_evidence_state,observed_months_2024_2026,latest_observed_month,provisional_cadence_signal,cadence_contract_recommendation,archive_boundary,source_checked_at,snapshot_generated_at,evidence_notes
ra-auth-af-3b057d88ac4bc7e0,ra-route-43e5382d8802c848955e,AF,Afghanistan,Bank of Afghanistan,central_banking,https://www.dab.gov.af/,https://www.dab.gov.af/sites/default/files/2025-10/Vol-218%20Finel.pdf,https://www.dab.gov.af/sites/default/files/2025-10/Vol-218%20Finel.pdf,authority-owned,detail_document,reachable,first-page-observed-no-date,generic-or-ambiguous-link,manual-scope-review,manual-review-required,candidate-needs-validation,,not-determined,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
ra-auth-al-50266ecb385a59d9,ra-route-390bbeb79c0d0949ec9e,AL,Albania,Albanian Financial Intelligence Agency (FIA),financial_intelligence,http://www.fiu.gov.al/en/,https://fiu.gov.al/wp-content/uploads/2026/05/20260508-FULL.pdf,https://fiu.gov.al/wp-content/uploads/2026/05/20260508-FULL.pdf,authority-owned,sanctions_or_penalty_list,reachable,first-page-observed-no-date,strong-official-publication-candidate,direct-http-scope-observed,approved-for-human-contract,authority-owned,en;fr,explicit-url-or-label-hint,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
ra-auth-al-9458202f9c2cf86f,ra-route-0a4de6abc9d2307a51a8,AL,Albania,Albanian Financial Supervisory Authority,securities;insurance;pensions,http://www.amf.gov.al/,https://amf.gov.al/,https://amf.gov.al/,not-observable,not-observable,challenge-protected,not-observable,not-observable,browser-clearance-required,browser-review-required,obstructed,,not-determined,,,not-observable,browser-review,not-observable,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,Approved from the official-source snapshot only; no scraper promotion is implied. | Direct observation was not available; preserve the transport/browser state and do not infer publication absence. | No dated first-page signal is not evidence of no publication activity.
ra-auth-al-2f84775459bda608,ra-route-1c29f763cf4353bac72a,AL,Albania,Bank of Albania,central_banking;prudential_supervision,https://www.bankofalbania.org/home/,https://youtu.be/jytYfn8tgOM,https://www.youtube.com/watch?v=jytYfn8tgOM&feature=youtu.be,external-unqualified,decision_register,reachable,first-page-observed-no-date,generic-or-ambiguous-link,manual-scope-review,manual-review-required,candidate-needs-validation,en,explicit-url-or-label-hint,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
ra-auth-dz-d70988675eba9ba0,ra-route-53fd2463162a409eefa4,DZ,Algeria,Commission d'Organisation et de Surveillance des Opérations de Bourse,securities,http://www.cosob.org/,https://cosob.dz/decisions-et-visas/,https://cosob.dz/decisions-et-visas/,external-unqualified,decision_register,reachable,dated-first-page-signal,generic-or-ambiguous-link,manual-scope-review,manual-review-required,candidate-needs-validation,en;fr,explicit-url-or-label-hint,2024-03;2024-04,2024-04,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
ra-auth-as-ec3abe995dd5f5e2,ra-route-d1fc66266241417e24f4,AS,American Samoa,Office of the Insurance Commissioner,insurance,https://www.americansamoa.gov/insurance,https://www.americansamoa.gov/notices,https://www.americansamoa.gov/notices,not-observable,not-observable,challenge-protected,not-observable,not-observable,browser-clearance-required,browser-review-required,obstructed,en,explicit-url-or-label-hint,,,not-observable,browser-review,not-observable,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,Approved from the official-source snapshot only; no scraper promotion is implied. | Direct observation was not available; preserve the transport/browser state and do not infer publication absence. | No dated first-page signal is not evidence of no publication activity.
ra-auth-ao-83413875f95a1791,ra-route-b93a683b790109bd2909,AO,Angola,Agência Angolana de Regulação e Supervisão de Seguros (ARSEG),insurance;pensions,https://www.arseg.ao/,https://www.arseg.ao/,https://www.arseg.ao/,authority-owned,sanctions_or_penalty_list,reachable,first-page-observed-no-date,strong-official-publication-candidate,direct-http-scope-observed,approved-for-human-contract,authority-owned,,not-determined,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
ra-auth-ao-8dbeceb628bbca2a,ra-route-a28f4fa8adcb72d03170,AO,Angola,Comissão do Mercado de Capitais,securities,http://www.cmc.ao/,https://www.cmc.ao/pt-pt/AML/CFT,https://www.cmc.ao/pt-pt/AML/CFT,not-observable,not-observable,challenge-protected,not-observable,not-observable,browser-clearance-required,browser-review-required,obstructed,pt,explicit-url-or-label-hint,,,not-observable,browser-review,not-observable,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,Approved from the official-source snapshot only; no scraper promotion is implied. | Direct observation was not available; preserve the transport/browser state and do not infer publication absence. | No dated first-page signal is not evidence of no publication activity.
ra-auth-ao-25d3c7b273ab72d7,ra-route-2ab0ae26c947ed9248cb,AO,Angola,Unidade de Informação Financeira (UIF-Angola),financial_intelligence,http://www.uif.ao/,http://www.uif.ao/listas-de-sancoes.aspx,http://www.uif.ao/listas-de-sancoes,authority-owned,enforcement_archive,reachable,dated-first-page-signal,strong-official-publication-candidate,direct-http-scope-observed,approved-for-human-contract,authority-owned,pt,explicit-url-or-label-hint,2026-02;2026-03,2026-03,low-frequency-first-page-signal,semiannual,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | Cadence is provisional and must be replaced by a regulator-specific contract after archive review."
ra-auth-ai-c575c4d8ea309feb,ra-route-f202085f0758b84d1697,AI,Anguilla,Financial Services Commission,prudential_supervision;financial_intelligence,http://www.fsc.org.ai/,http://www.fsc.org.ai/enforcementaction.php,http://www.fsc.org.ai/enforcementaction.php,authority-owned,enforcement_archive,reachable,first-page-observed-no-date,strong-official-publication-candidate,direct-http-scope-observed,approved-for-human-contract,authority-owned,en,explicit-url-or-label-hint,,,no-dated-first-page-signal,manual-review,first-page-only-unvalidated,2026-08-20T12:11:07.553Z,2026-08-20T12:11:07.553Z,"Approved from the official-source snapshot only; no scraper promotion is implied. | First-page observation only; pagination, archive depth and field completeness remain to be human-qualified. | No dated first-page signal is not evidence of no publication activity."
