iso2,country,authority,roles,candidate_label,candidate_url,final_url,access_state,http_status,title,publication_relevance,observed_months_2024_2026,observed_month_count,latest_observed_month,provisional_cadence_signal,interpretation,error
AF,Afghanistan,Bank of Afghanistan,central_banking,/sites/default/files/2025-10/Vol-218%20Finel.pdf,https://www.dab.gov.af/sites/default/files/2025-10/Vol-218%20Finel.pdf,https://www.dab.gov.af/sites/default/files/2025-10/Vol-218%20Finel.pdf,reachable,200,,generic-or-ambiguous-link,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
AL,Albania,Albanian Financial Intelligence Agency (FIA),financial_intelligence,EU Sanctions List,https://fiu.gov.al/wp-content/uploads/2026/05/20260508-FULL.pdf,https://fiu.gov.al/wp-content/uploads/2026/05/20260508-FULL.pdf,reachable,200,,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
AL,Albania,Albanian Financial Supervisory Authority,securities;insurance;pensions,"//<![CDATA[ (function(){for(var g=""function""==typeof Object.defineProperties?Object.defineProperty:function(b,c,a){if(a.get||a.set)throw new TypeError(""ES3 does not support getters and setters."");b!=Array.prototype&&b!=Object.prototype&&(b[c]=a.value)},h=""undefined""!=typeof window&&window===this?this:""undefined""!=typeof global&&null!=global?global:this,k=[""String"",""prototype"",""repeat""],l=0;l<k.length-1;l++){var m=k[l];m in h||(h[m]={});h=h[m]}var n=k[k.length-1],p=h[n],q=p?p:function(b){var c;if(null==this)throw new TypeError(""The 'this' value for String.prototype.repeat must not be null or undefined"");c=this+"""";if(0>b||1342177279<b)throw new RangeError(""Invalid count value"");b|=0;for(var a="""";b;)if(b&1&&(a+=c),b>>>=1)c+=c;return a};q!=p&&null!=q&&g(h,n,{configurable:!0,writable:!0,value:q});var t=this;function u(b,c){var a=b.split("".""),d=t;a[0]in d||!d.execScript||d.execScript(""var ""+a[0]);for(var e;a.length&&(e=a.shift());)a.length||void 0===c?d[e]?d=d[e]:d=d[e]={}:d[e]=c};function v(b){var c=b.length;if(0<c){for(var a=Array(c),d=0;d<c;d++)a[d]=b[d];return a}return[]};function w(b){var c=window;if(c.addEventListener)c.addEventListener(""load"",b,!1);else if(c.attachEvent)c.attachEvent(""onload"",b);else{var a=c.onload;c.onload=function(){b.call(this);a&&a.call(this)}}};var x;function y(b,c,a,d,e){this.h=b;this.j=c;this.l=a;this.f=e;this.g={height:window.innerHeight||document.documentElement.clientHeight||document.body.clientHeight,width:window.innerWidth||document.documentElement.clientWidth||document.body.clientWidth};this.i=d;this.b={};this.a=[];this.c={}}function z(b,c){var a,d,e=c.getAttribute(""data-pagespeed-url-hash"");if(a=e&&!(e in b.c))if(0>=c.offsetWidth&&0>=c.offsetHeight)a=!1;else{d=c.getBoundingClientRect();var f=document.body;a=d.top+(""pageYOffset""in window?window.pageYOffset:(document.documentElement||f.parentNode||f).scrollTop);d=d.left+(""pageXOffset""in window?window.pageXOffset:(document.documentElement||f.parentNode||f).scrollLeft);f=a.toString()+"",""+d;b.b.hasOwnProperty(f)?a=!1:(b.b[f]=!0,a=a<=b.g.height&&d<=b.g.width)}a&&(b.a.push(e),b.c[e]=!0)}y.prototype.checkImageForCriticality=function(b){b.getBoundingClientRect&&z(this,b)};u(""pagespeed.CriticalImages.checkImageForCriticality"",function(b){x.checkImageForCriticality(b)});u(""pagespeed.CriticalImages.checkCriticalImages"",function(){A(x)});function A(b){b.b={};for(var c=[""IMG"",""INPUT""],a=[],d=0;d<c.length;++d)a=a.concat(v(document.getElementsByTagName(c[d])));if(a.length&&a[0].getBoundingClientRect){for(d=0;c=a[d];++d)z(b,c);a=""oh=""+b.l;b.f&&(a+=""&n=""+b.f);if(c=!!b.a.length)for(a+=""&ci=""+encodeURIComponent(b.a[0]),d=1;d<b.a.length;++d){var e="",""+encodeURIComponent(b.a[d]);131072>=a.length+e.length&&(a+=e)}b.i&&(e=""&rd=""+encodeURIComponent(JSON.stringify(B())),131072>=a.length+e.length&&(a+=e),c=!0);C=a;if(c){d=b.h;b=b.j;var f;if(window.XMLHttpRequest)f=new XMLHttpRequest;else if(window.ActiveXObject)try{f=new ActiveXObject(""Msxml2.XMLHTTP"")}catch(r){try{f=new ActiveXObject(""Microsoft.XMLHTTP"")}catch(D){}}f&&(f.open(""POST"",d+(-1==d.indexOf(""?"")?""?"":""&"")+""url=""+encodeURIComponent(b)),f.setRequestHeader(""Content-Type"",""application/x-www-form-urlencoded""),f.send(a))}}}function B(){var b={},c;c=document.getElementsByTagName(""IMG"");if(!c.length)return{};var a=c[0];if(!(""naturalWidth""in a&&""naturalHeight""in a))return{};for(var d=0;a=c[d];++d){var e=a.getAttribute(""data-pagespeed-url-hash"");e&&(!(e in b)&&0<a.width&&0<a.height&&0<a.naturalWidth&&0<a.naturalHeight||e in b&&a.width>=b[e].o&&a.height>=b[e].m)&&(b[e]={rw:a.width,rh:a.height,ow:a.naturalWidth,oh:a.naturalHeight})}return b}var C="""";u(""pagespeed.CriticalImages.getBeaconData"",function(){return C});u(""pagespeed.CriticalImages.Run"",function(b,c,a,d,e,f){var r=new y(b,c,a,e,f);x=r;d&&w(function(){window.setTimeout(function(){A(r)},0)})});})();pagespeed.CriticalImages.Run('/mod_pagespeed_beacon','https://crm.amf.gov.al/error','82dtZm2p5Q',true,false,'iA0tmrKLtsY'); //]]>!function(){""use strict"";function t(){return""cf-marker-""+Math.random().toString().slice(2)}function e(){for(var t=[],e=0;e<arguments.length;e++)t[e]=arguments[e];(n=console.warn||console.log).call.apply(n,[console,""[ROCKET LOADER] ""].concat(t));var n}function n(t,e){var n=e.parentNode;n&&h(t,n,e)}function r(t,e){h(t,e,e.childNodes[0])}function o(t){var e=t.parentNode;e&&e.removeChild(t)}function i(t){var e=t.namespaceURI===A?""xlink:href"":""src"";return t.getAttribute(e)}function a(t,e){var n=t.type.substr(e.length);return!(n&&!E[n.trim()])&&((!k||!t.hasAttribute(""nomodule""))&&!(!k&&""module""===n))}function c(t){return a(t,"""")}function s(t,e){return function(n){if(e(),t)return t.call(this,n)}}function u(t,e){t.onload=s(t.onload,e),t.onerror=s(t.onerror,e)}function p(t){var e=document.createElementNS(t.namespaceURI,""script"");e.async=t.hasAttribute(""async""),e.textContent=t.textContent;for(var n=0;n<t.attributes.length;n++){var r=t.attributes[n];try{r.namespaceURI?e.setAttributeNS(r.namespaceURI,r.name,r.value):e.setAttribute(r.name,r.value)}catch(o){}}return e}function l(t,e){var n=new I(e);t.dispatchEvent(n)}function d(e){var n=e.namespaceURI===A,r=t();e.setAttribute(r,"""");var i=n?""<svg>""+e.outerHTML+""</svg>"":e.outerHTML;L.call(document,i);var a=document.querySelector(""[""+r+""]"");if(a){a.removeAttribute(r);var c=n&&a.parentNode;c&&o(c)}return a}function f(t){if(t&&""handleEvent""in t){var e=t.handleEvent;return""function""==typeof e?e.bind(t):e}return t}function h(t,e,n){var r=n?function(t){return e.insertBefore(t,n)}:function(t){return e.appendChild(t)};Array.prototype.slice.call(t).forEach(r)}function v(){return/chrome/i.test(navigator.userAgent)&&/google/i.test(navigator.vendor)}function y(t,e){function n(){this.constructor=t}H(t,e),t.prototype=null===e?Object.create(e):(n.prototype=e.prototype,new n)}function m(t){return t instanceof Window?[""load""]:t instanceof Document?[""DOMContentLoaded"",""readystatechange""]:[]}function b(t){var e=t.getAttribute(R);if(!e)return null;var n=e.split(T);return{nonce:n[0],handlerPrefixLength:+n[1],bailout:!t.hasAttribute(""defer"")}}function g(t){var e=B+t.nonce;Array.prototype.forEach.call(document.querySelectorAll(""[""+e+""]""),function(n){n.removeAttribute(e),Array.prototype.forEach.call(n.attributes,function(e){/^on/.test(e.name)&&""function""!=typeof n[e.name]&&n.setAttribute(e.name,e.value.substring(t.handlerPrefixLength))})})}function S(){var t=window;""undefined""!=typeof Promise&&(t.__cfQR={done:new Promise(function(t){return U=t})})}function w(t){var e=new N(t),n=new C(e);e.harvestScriptsInDocument(),new W(e,{nonce:t,blocking:!0,docWriteSimulator:n,callback:function(){}}).run()}function x(t){var e=new N(t),n=new C(e);e.harvestScriptsInDocument();var r=new W(e,{nonce:t,blocking:!1,docWriteSimulator:n,callback:function(){window.__cfRLUnblockHandlers=!0,r.removePreloadHints(),P(t)}});r.insertPreloadHints(),M.runOnLoad(function(){r.run()})}function P(t){var e=new O(t);M.simulateStateBeforeDeferScriptsActivation(),e.harvestDeferScriptsInDocument(),new W(e,{nonce:t,blocking:!1,callback:function(){M.simulateStateAfterDeferScriptsActivation(),U&&U()}}).run()}var A=""http://www.w3.org/2000/svg"",E={""application/ecmascript"":!0,""application/javascript"":!0,""application/x-ecmascript"":!0,""application/x-javascript"":!0,""text/ecmascript"":!0,""text/javascript"":!0,""text/javascript1.0"":!0,""text/javascript1.1"":!0,""text/javascript1.2"":!0,""text/javascript1.3"":!0,""text/javascript1.4"":!0,""text/javascript1.5"":!0,""text/jscript"":!0,""text/livescript"":!0,""text/x-ecmascript"":!0,""text/x-javascript"":!0,module:!0},k=void 0!==document.createElement(""script"").noModule,I=function(){var t=window;return t.__rocketLoaderEventCtor||Object.defineProperty(t,""__rocketLoaderEventCtor"",{value:Event}),t.__rocketLoaderEventCtor}(),L=document.write,_=document.writeln,H=Object.setPrototypeOf||{__proto__:[]}instanceof Array&&function(t,e){t.__proto__=e}||function(t,e){for(var n in e)e.hasOwnProperty(n)&&(t[n]=e[n])},D=function(){function t(t){this.nonce=t,this.items=[]}return Object.defineProperty(t.prototype,""hasItems"",{get:function(){return this.items.length>0},enumerable:!0,configurable:!0}),t.prototype.pop=function(){return this.items.pop()},t.prototype.forEach=function(t){this.items.forEach(function(e){var n=e.script;return t(n)})},t.prototype.harvestScripts=function(t,e){var n=this,r=e.filter,o=e.mutate;Array.prototype.slice.call(t.querySelectorAll(""script"")).filter(r).reverse().forEach(function(t){o(t),n.pushScriptOnStack(t)})},t.prototype.pushScriptOnStack=function(t){var e=t.parentNode,n=this.createPlaceholder(t),r=!!i(t);e.replaceChild(n,t),this.items.push({script:t,placeholder:n,external:r,async:r&&t.hasAttribute(""async""),executable:c(t)})},t.prototype.hasNonce=function(t){return 0===(t.getAttribute(""type"")||"""").indexOf(this.nonce)},t.prototype.removeNonce=function(t){t.type=t.type.substr(this.nonce.length)},t.prototype.makeNonExecutable=function(t){t.type=this.nonce+t.type},t.prototype.isPendingDeferScript=function(t){return t.hasAttribute(""defer"")||t.type===this.nonce+""module""&&!t.hasAttribute(""async"")},t}(),N=function(t){function e(){return null!==t&&t.apply(this,arguments)||this}return y(e,t),e.prototype.harvestScriptsInDocument=function(){var t=this;this.harvestScripts(document,{filter:function(e){return t.hasNonce(e)},mutate:function(e){t.isPendingDeferScript(e)||t.removeNonce(e)}})},e.prototype.harvestScriptsAfterDocWrite=function(t){var e=this;this.harvestScripts(t,{filter:c,mutate:function(t){e.isPendingDeferScript(t)&&e.makeNonExecutable(t)}})},e.prototype.createPlaceholder=function(t){return document.createComment(t.outerHTML)},e}(D),O=function(t){function e(){return null!==t&&t.apply(this,arguments)||this}return y(e,t),e.prototype.harvestDeferScriptsInDocument=function(){var t=this;this.harvestScripts(document,{filter:function(e){return t.hasNonce(e)&&t.isPendingDeferScript(e)},mutate:function(e){return t.removeNonce(e)}})},e.prototype.createPlaceholder=function(t){var e=p(t);return this.makeNonExecutable(e),e},e}(D),C=function(){function t(t){this.scriptStack=t}return t.prototype.enable=function(t){var e=this;this.insertionPointMarker=t,this.buffer="""",document.write=function(){for(var t=[],n=0;n<arguments.length;n++)t[n]=arguments[n];return e.write(t,!1)},document.writeln=function(){for(var t=[],n=0;n<arguments.length;n++)t[n]=arguments[n];return e.write(t,!0)}},t.prototype.flushWrittenContentAndDisable=function(){document.write=L,document.writeln=_,this.buffer.length&&(document.contains(this.insertionPointMarker)?this.insertionPointMarker.parentNode===document.head?this.insertContentInHead():this.insertContentInBody():e(""Insertion point marker for document.write was detached from document:"",""Markup will not be inserted""))},t.prototype.insertContentInHead=function(){var t=new DOMParser,e=""<!DOCTYPE html><head>""+this.buffer+""</head>"",o=t.parseFromString(e,""text/html"");if(this.scriptStack.harvestScriptsAfterDocWrite(o),n(o.head.childNodes,this.insertionPointMarker),o.body.childNodes.length){for(var i=Array.prototype.slice.call(o.body.childNodes),a=this.insertionPointMarker.nextSibling;a;)i.push(a),a=a.nextSibling;document.body||L.call(document,""<body>""),r(i,document.body)}},t.prototype.insertContentInBody=function(){var t=this.insertionPointMarker.parentElement,e=document.createElement(t.tagName);e.innerHTML=this.buffer,this.scriptStack.harvestScriptsAfterDocWrite(e),n(e.childNodes,this.insertionPointMarker)},t.prototype.write=function(t,e){var n=document.currentScript;n&&i(n)&&n.hasAttribute(""async"")?(r=e?_:L).call.apply(r,[document].concat(t)):this.buffer+=t.map(String).join(e?""\n"":"""");var r},t}(),j=function(){function t(){var t=this;this.simulatedReadyState=""loading"",this.bypassEventsInProxies=!1,this.nativeWindowAddEventListener=window.addEventListener;try{Object.defineProperty(document,""readyState"",{get:function(){return t.simulatedReadyState}})}catch(e){}this.setupEventListenerProxy(),this.updateInlineHandlers()}return t.prototype.runOnLoad=function(t){var e=this;this.nativeWindowAddEventListener.call(window,""load"",function(n){if(!e.bypassEventsInProxies)return t(n)})},t.prototype.updateInlineHandlers=function(){this.proxyInlineHandler(document,""onreadystatechange""),this.proxyInlineHandler(window,""onload""),document.body&&this.proxyInlineHandler(document.body,""onload"")},t.prototype.simulateStateBeforeDeferScriptsActivation=function(){this.bypassEventsInProxies=!0,this.simulatedReadyState=""interactive"",l(document,""readystatechange""),this.bypassEventsInProxies=!1},t.prototype.simulateStateAfterDeferScriptsActivation=function(){var t=this;this.bypassEventsInProxies=!0,l(document,""DOMContentLoaded""),this.simulatedReadyState=""complete"",l(document,""readystatechange""),l(window,""load""),this.bypassEventsInProxies=!1,window.setTimeout(function(){return t.bypassEventsInProxies=!0},0)},t.prototype.setupEventListenerProxy=function(){var t=this;(""undefined""!=typeof EventTarget?[EventTarget.prototype]:[Node.prototype,Window.prototype]).forEach(function(e){return t.patchEventTargetMethods(e)})},t.prototype.patchEventTargetMethods=function(t){var e=this,n=t.addEventListener,r=t.removeEventListener;t.addEventListener=function(t,r){for(var o=[],i=2;i<arguments.length;i++)o[i-2]=arguments[i];var a=m(this),c=r&&r.__rocketLoaderProxiedHandler;if(!c){var s=f(r);""function""==typeof s?(c=function(n){if(e.bypassEventsInProxies||a.indexOf(t)<0)return s.call(this,n)},Object.defineProperty(r,""__rocketLoaderProxiedHandler"",{value:c})):c=r}n.call.apply(n,[this,t,c].concat(o))},t.removeEventListener=function(t,e){for(var n=[],o=2;o<arguments.length;o++)n[o-2]=arguments[o];var i=e&&e.__rocketLoaderProxiedHandler||e;r.call.apply(r,[this,t,i].concat(n))}},t.prototype.proxyInlineHandler=function(t,e){try{var n=t[e];if(n&&!n.__rocketLoaderInlineHandlerProxy){var r=this;t[e]=function(t){if(r.bypassEventsInProxies)return n.call(this,t)},Object.defineProperty(t[e],""__rocketLoaderInlineHandlerProxy"",{value:!0})}}catch(o){return void console.warn(""encountered an error when accessing ""+e+"" handler:"",o.message)}},t}(),M=function(){var t=window;return t.__rocketLoaderLoadProgressSimulator||Object.defineProperty(t,""__rocketLoaderLoadProgressSimulator"",{value:new j}),t.__rocketLoaderLoadProgressSimulator}(),W=function(){function t(t,e){this.scriptStack=t,this.settings=e,this.preloadHints=[]}return t.prototype.insertPreloadHints=function(){var t=this;this.scriptStack.forEach(function(e){if(a(e,t.settings.nonce)){var n=i(e),r=v()&&e.hasAttribute(""integrity"");if(n&&!r){var o=document.createElement(""link"");o.setAttribute(""rel"",""preload""),o.setAttribute(""as"",""script""),o.setAttribute(""href"",n),e.crossOrigin&&o.setAttribute(""crossorigin"",e.crossOrigin),document.head.appendChild(o),t.preloadHints.push(o)}}})},t.prototype.removePreloadHints=function(){this.preloadHints.forEach(function(t){return o(t)})},t.prototype.run=function(){for(var t=this,e=this;this.scriptStack.hasItems;){var n=function(){var n=e.settings.docWriteSimulator,r=e.scriptStack.pop();n&&!r.async&&n.enable(r.placeholder);var o=e.activateScript(r);return o?r.external&&r.executable&&!r.async?(u(o,function(){t.finalizeActivation(r),t.run()}),{value:void 0}):void e.finalizeActivation(r):(n&&n.flushWrittenContentAndDisable(),""continue"")}();if(""object""==typeof n)return n.value}this.scriptStack.hasItems||this.settings.callback()},t.prototype.finalizeActivation=function(t){this.settings.docWriteSimulator&&!t.async&&this.settings.docWriteSimulator.flushWrittenContentAndDisable(),M.updateInlineHandlers(),o(t.placeholder)},t.prototype.activateScript=function(t){var n=t.script,r=t.placeholder,o=t.external,i=t.async,a=r.parentNode;if(!document.contains(r))return e(""Placeholder for script \n""+n.outerHTML+""\n was detached from document."",""Script will not be executed.""),null;var c=this.settings.blocking&&o&&!i?d(n):p(n);return c?(a.insertBefore(c,r),c):(e(""Failed to create activatable copy of script \n""+n.outerHTML+""\n"",""Script will not be executed.""),null)},t}(),R=""data-cf-settings"",T=""|"",B=""data-cf-modified-"",U=void 0;!function(){var t=document.currentScript;if(t){var n=b(t);n?(o(t),g(n),M.updateInlineHandlers(),n.bailout?w(n.nonce):(S(),x(n.nonce))):e(""Activator script doesn't have settings. No scripts will be executed."")}else e(""Can't obtain activator script. No scripts will be executed."")}()}();",https://amf.gov.al/,https://amf.gov.al/,challenge-protected,403,AMF :: Autoriteti i Mbikëqyrjes Financiare,not-observable,,0,,not-observable,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
AL,Albania,Bank of Albania,central_banking;prudential_supervision,"Governor Sejko at the Press Conference on MP decision, 3 May 2023",https://youtu.be/jytYfn8tgOM,https://www.youtube.com/watch?v=jytYfn8tgOM&feature=youtu.be,reachable,200,- YouTube,generic-or-ambiguous-link,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
DZ,Algeria,Commission d'Organisation et de Surveillance des Opérations de Bourse,securities,Décisions et visas,https://cosob.dz/decisions-et-visas/,https://cosob.dz/decisions-et-visas/,reachable,200,Décisions et visas – COSOB,generic-or-ambiguous-link,2024-03;2024-04,2,2024-04,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
AS,American Samoa,Office of the Insurance Commissioner,insurance,NOTICES,https://www.americansamoa.gov/notices,https://www.americansamoa.gov/notices,challenge-protected,200,NOTICES | AMERICAN SAMOA,not-observable,,0,,not-observable,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
AO,Angola,Agência Angolana de Regulação e Supervisão de Seguros (ARSEG),insurance;pensions,Actividade Sancionatória,https://www.arseg.ao/,https://www.arseg.ao/,reachable,200,ARSEG - Início,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
AO,Angola,Comissão do Mercado de Capitais,securities,Lista de Sanções da ONU,https://www.cmc.ao/pt-pt/AML/CFT,https://www.cmc.ao/pt-pt/AML/CFT,challenge-protected,200,Lista de Sanções da ONU | Portal CMC,not-observable,,0,,not-observable,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
AO,Angola,Unidade de Informação Financeira (UIF-Angola),financial_intelligence,Listas de Sanções,http://www.uif.ao/listas-de-sancoes.aspx,http://www.uif.ao/listas-de-sancoes,reachable,200,UIF - Unidade de Informação Financeira,strong-official-publication-candidate,2026-02;2026-03,2,2026-03,low-frequency-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
AI,Anguilla,Financial Services Commission,prudential_supervision;financial_intelligence,Enforcement Action,http://www.fsc.org.ai/enforcementaction.php,http://www.fsc.org.ai/enforcementaction.php,reachable,200,Anguilla Financial Services Commission - Publications - Enforcement Action,strong-official-publication-candidate,,0,,no-dated-first-page-signal,"Automated first-page signal only. Human validation, pagination and archive-depth research are required before any published metric.",
